symbol,date,net_income,depreciation_and_amortization,share_based_compensation,other_operating_activities,operating_cash_flow,capital_expenditures,investing_cash_flow,share_issuance_or_repurchase,other_financing_activities,financing_cash_flow,net_cash_flow,free_cash_flow,free_cash_flow_margin,free_cash_flow_per_share,change_in_investments,debt_issued_or_paid,operating_cash_flow_growth,acquisitions,dividends_paid,other_investing_activities,free_cash_flow_growth,common_stock_issued,share_repurchases
BTWN,2022-01-01,23.22,,,25.15,1.93,,447.64,447.64,,445.84,0.13,1.93,,0.03,447.64,1.8,,,,,,,
BTWN,2021-01-01,89.05,,,91.31,2.26,,0.0,0.0,0.0,0.91,1.34,2.26,,0.03,0.0,0.91,,,,,,,
WNNR,2022-01-01,1.89,,,3.82,1.93,,235.75,225.41,13.13,238.3,0.62,1.93,,0.07,235.75,0.24,,,,,,,
SCUA,2022-01-01,16.99,,,18.72,1.73,,0.0,0.0,,0.78,0.94,1.73,,0.06,0.0,0.78,,,,,,,
CBRG,2022-01-01,10.71,,,11.61,0.9,,0.0,0.0,0.07,0.28,0.62,0.9,,0.03,0.0,0.35,,,,,,,
FIAC,2022-01-01,11.53,,,12.5,0.97,,1.0,0.0,,0.0,0.03,0.97,,0.17,1.0,,,,,,,,
DPCS,2022-01-01,2.43,,,2.93,0.49,,0.0,0.0,,0.0,0.49,0.49,,0.02,0.0,0.0,,,,,,,
BPAC,2022-01-01,15.31,,0.69,17.24,1.24,,0.0,0.0,0.68,0.68,1.92,1.24,,0.04,0.0,0.0,,,,,,,
BRD,2022-01-01,1.21,,,1.86,0.66,,0.0,0.0,0.0,0.0,0.66,0.66,,0.02,0.0,0.0,,,,,,,
LCAA,2022-01-01,10.84,,,11.43,0.59,,0.0,0.0,,0.0,0.59,0.59,,0.02,0.0,,,,,,,,
LCW,2022-01-01,9.89,,,10.43,0.54,,0.0,0.0,,1.05,0.51,0.54,,0.02,0.0,1.05,,,,,,,
WRAC,2022-01-01,1.02,,,2.33,1.31,,201.94,201.3,,200.75,0.13,1.31,,0.05,201.94,0.55,,,,,,,
AEAE,2022-01-01,13.81,,,15.35,1.55,,0.62,0.0,0.01,0.16,0.77,1.55,,0.05,0.62,0.17,,,,,,,
