symbol,date,market_capitalization,market_cap_growth,enterprise_value,pe_ratio,ps_ratio,pb_ratio,p_over_fcf_ratio,p_over_ocf_ratio,ev_over_sales_ratio,ev_over_ebitda_ratio,ev_over_ebit_ratio,ev_over_fcf_ratio,current_ratio,asset_turnover,return_on_equity_roe,return_on_assets_roa,return_on_capital_roic,earnings_yield,fcf_yield,buyback_yield_or_dilution,total_shareholder_return,debt_or_equity_ratio,debt_or_ebitda_ratio,debt_or_fcf_ratio,dividend_yield,payout_ratio,revenue,revenue_growth_yoy,gross_profit,selling_general_and_admin,other_operating_expenses,operating_expenses,operating_income,pretax_income,income_tax,net_income,preferred_dividends,net_income_common,net_income_growth,shares_outstanding_basic,shares_outstanding_diluted,shares_change,eps_basic,eps_diluted,eps_growth,free_cash_flow_per_share,gross_margin,operating_margin,profit_margin,free_cash_flow_margin,effective_tax_rate,ebitda,ebitda_margin,depreciation_and_amortization,ebit,ebit_margin
EGGF,2022-01-01,280.0,2.57,281.0,76.47,,21.19,202.99,202.99,,65.95,65.95,203.76,0.06,,33.6,1.6,1.9,1.31,0.49,39.53,39.53,0.09,0.27,0.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HAIA,2022-01-01,277.0,10.5,276.0,21.61,,31.75,149.32,149.32,,21.58,21.58,149.11,4.01,,131.6,5.8,5.8,4.63,0.67,220.7,220.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XPAX,2022-01-01,275.0,3.2,275.0,143.62,,18.38,524.76,524.76,,143.75,143.75,525.25,0.05,,13.9,0.9,0.9,0.7,0.19,,,0.02,0.16,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROC,2022-01-01,275.0,42.97,277.0,270.7,,139.58,164.91,164.91,,177.25,177.25,166.03,0.14,,2628.8,0.5,0.7,0.37,0.61,192.4,192.4,1.05,1.33,1.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGAA,2022-01-01,275.0,10.47,275.0,140.1,,35.26,257.15,257.15,,140.15,140.15,257.25,0.64,,26.0,0.9,0.9,0.71,0.39,263.63,263.63,0.06,0.25,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CREC,2022-01-01,274.0,17.18,274.0,17.68,,39.23,832.43,832.43,,17.65,17.65,831.0,2.84,,165.9,7.5,7.5,5.66,0.12,,,0.02,0.01,0.45,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLUA,2022-01-01,371.0,29.06,371.0,43.68,,32.08,655.15,655.15,,43.69,43.69,655.29,0.03,,70.7,2.9,2.9,2.29,0.15,7.59,7.59,0.01,0.01,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONX,2022-01-01,934.0,1.43,933.0,38.6,,29.41,1706.36,1706.36,,36.72,36.72,1704.42,0.67,,75.4,4.1,4.4,2.59,0.06,11.51,11.51,0.01,0.01,0.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONX,2021-01-01,921.0,8.75,920.0,47.58,,17.78,1995.63,1995.63,,47.49,47.49,1994.0,2.76,,75.8,2.6,2.6,2.1,0.05,76.9,76.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WAVC,2022-01-01,269.0,3.3,268.0,137.25,,40.94,551.91,551.91,,136.68,136.68,549.64,3.1,,31.8,0.9,0.9,0.73,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AVAC,2022-01-01,267.0,3.74,266.0,32.5,,30.63,146.82,146.82,,29.71,29.71,146.64,0.86,,88.4,3.9,4.3,3.08,0.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CDAQ,2022-01-01,266.0,7.4,265.0,28.62,,31.84,251.2,251.2,,28.55,28.55,250.56,1.31,,105.2,4.3,4.3,3.49,0.4,207.65,207.65,0.03,0.03,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWOA,2022-01-01,276.0,3.49,276.0,184.46,,36.38,491.32,491.32,,184.23,184.23,490.72,0.69,,21.2,0.7,0.7,0.54,0.2,22.22,22.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PHYT,2022-01-01,260.0,4.66,260.0,24.42,,23.53,279.78,279.78,,24.41,24.41,279.76,1.63,,78.3,5.1,5.1,4.1,0.36,190.77,190.77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DALS,2022-01-01,256.0,1.89,256.0,427.85,,54.13,233.99,233.99,,223.9,223.9,233.35,0.89,,14.1,0.3,0.6,0.23,0.43,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARTE,2022-01-01,257.0,0.42,257.0,73.82,,32.46,284.21,284.21,,63.04,63.04,284.03,0.04,,31.6,1.7,2.0,1.35,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRLH,2022-01-01,256.0,16.91,255.0,125.34,,38.47,134.68,134.68,,125.14,125.14,134.47,2.55,,32.4,1.0,1.0,0.8,0.74,235.25,235.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHNA,2022-01-01,256.0,35.65,256.0,260.44,,33.02,215.31,215.31,,260.69,260.69,215.52,0.14,,14.8,0.5,0.5,0.38,0.46,216.38,216.38,0.04,0.31,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GTAC,2022-01-01,257.0,4.55,256.0,20.23,,74.04,541.05,541.05,,20.17,20.17,539.49,9.9,,147.4,6.2,6.2,4.94,0.18,164.89,164.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEDA,2022-01-01,251.0,3.29,251.0,52.14,,57.81,332.78,332.78,,52.01,52.01,331.97,0.4,,57.0,2.4,2.4,1.92,0.3,216.09,216.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FICV,2022-01-01,251.0,3.3,250.0,38.46,,25.44,385.01,385.01,,38.37,38.37,384.12,0.24,,65.2,3.2,3.3,2.6,0.26,41.85,41.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACAQ,2022-01-01,333.0,50.02,333.0,148.39,,24.78,353.44,353.44,,214.21,214.21,353.42,0.07,,22.1,1.2,0.9,0.67,0.28,102.27,102.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAQ,2022-01-01,313.0,2.88,312.0,33.94,,35.31,350.82,350.82,,31.76,31.76,350.37,0.81,,94.2,3.7,3.9,2.95,0.29,19.67,19.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SCAQ,2021-01-01,304.0,,303.0,31.55,,19.29,484.13,484.13,,31.46,31.46,482.61,2.22,,49.5,3.8,3.9,3.17,0.21,317.81,317.81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOCC,2022-01-01,249.0,0.97,248.0,508.7,,35.82,140.43,140.43,,3304.32,3304.32,140.16,1.89,,7.4,0.2,,0.2,0.71,130.06,130.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BWC,2022-01-01,299.0,0.93,300.0,60.21,,27.97,361.2,361.2,,60.4,60.4,362.31,0.55,,42.2,2.1,2.2,1.66,0.28,86.51,86.51,0.25,0.53,3.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HMA,2022-01-01,245.0,,244.0,22.92,,34.77,123.7,123.7,,21.77,21.77,123.58,0.8,,130.0,5.4,5.7,4.36,0.81,420.0,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NVAC,2022-01-01,245.0,27.39,245.0,34.16,,395.22,421.26,421.26,,31.91,31.91,420.92,0.55,,664.6,3.7,4.0,2.93,0.24,24.65,24.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOCN,2022-01-01,439.0,134.31,438.0,34.67,,50.59,1065.43,1065.43,,34.62,34.62,1063.91,1.26,,128.6,6.5,6.5,2.88,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRRX,2022-01-01,296.0,2.49,296.0,30.9,,25.91,238.6,238.6,,29.07,29.07,238.55,0.45,,79.7,4.1,4.4,3.24,0.42,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DSAQ,2022-01-01,296.0,3.63,297.0,25.55,,26.7,360.25,360.25,,24.29,24.29,361.65,0.42,,108.6,4.9,5.2,3.91,0.28,,,0.21,0.19,2.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CFFS,2022-01-01,237.0,4.71,54.0,3624.99,,57.19,178.04,178.04,,137.53,137.53,40.39,0.07,,1.7,0.0,0.4,0.03,0.56,365.63,365.63,1.08,11.46,3.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MPRA,2022-01-01,294.0,20.05,295.0,21.42,,232.77,313.23,313.23,,20.45,20.45,313.96,0.07,,201.0,5.8,6.2,4.67,0.32,226.49,226.49,0.59,0.05,0.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APCA,2022-01-01,223.0,17.16,222.0,181.44,,37.12,293.61,293.61,,181.18,181.18,293.19,1.1,,21.9,0.7,0.7,0.55,0.34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FNVT,2022-01-01,223.0,3.85,223.0,200.58,,489.23,290.22,290.22,,200.77,200.77,290.49,0.55,,326.3,0.6,0.6,0.5,0.34,37.76,37.76,0.99,0.4,0.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MNTN,2022-01-01,221.0,17.06,220.0,1392.7,,34.74,154.44,154.44,,358.98,358.98,154.28,0.42,,2.8,0.1,0.3,0.07,0.65,227.24,227.24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOAC,2022-01-01,222.0,70.1,222.0,6.84,,7.93,241.04,241.04,,6.82,6.82,240.44,1.87,,108.4,9.5,9.5,14.62,0.41,19.44,19.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BOAC,2021-01-01,743.0,5.68,742.0,14.66,,12.93,613.29,613.29,,14.63,14.63,612.07,4.54,,181.3,8.3,8.3,6.82,0.16,108.69,108.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWCB,2022-01-01,222.0,1.75,222.0,89.3,,19.03,310.09,310.09,,75.1,75.1,309.02,2.1,,21.5,1.5,1.7,1.12,0.32,66.51,66.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TCOA,2022-01-01,217.0,16.39,216.0,564.33,,38.69,124.92,124.92,,283.76,283.76,124.64,1.3,,7.4,0.2,0.4,0.18,0.8,309.09,309.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEPA,2022-01-01,224.0,1.43,224.0,29.07,,30.91,216.43,216.43,,27.22,27.22,216.06,0.14,,89.6,5.4,5.9,3.44,0.46,63.76,63.76,0.13,0.12,0.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GFOR,2022-01-01,213.0,2.68,213.0,46.93,,51.18,135.87,135.87,,42.68,42.68,135.46,0.31,,85.9,2.6,2.9,2.13,0.74,42.22,42.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CLBR,2022-01-01,214.0,3.11,214.0,36.98,,36.39,331.84,331.84,,33.88,33.88,331.54,0.34,,83.2,3.3,3.6,2.7,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BSAQ,2022-01-01,211.0,3.2,211.0,17.58,,23.46,99.85,99.85,,17.58,17.58,99.85,0.11,,120.4,7.1,7.2,5.69,1.0,58.49,58.49,0.0,0.0,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SAMA,2022-01-01,208.0,2.64,208.0,226.26,,25.29,166.81,166.81,,459.11,459.11,166.51,0.22,,12.8,0.5,0.3,0.44,0.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HHLA,2022-01-01,523.0,3.91,524.0,29.57,,42.46,595.43,595.43,,29.6,29.6,595.98,0.01,,93.7,4.2,4.3,3.38,0.17,9.35,9.35,0.04,0.03,0.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RCAC,2022-01-01,207.0,11.11,206.0,181.82,,39.43,171.04,171.04,,129.26,129.26,170.4,1.19,,23.1,0.7,1.0,0.55,0.58,375.62,375.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AACI,2022-01-01,205.0,5.15,206.0,56.71,,65.23,224.81,224.81,,59.1,59.1,224.89,0.07,,171.7,2.4,2.4,1.76,0.44,,,0.08,0.07,0.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FACT,2022-01-01,436.0,4.34,436.0,72.81,,37.91,304.66,304.66,,72.93,72.93,305.19,0.03,,35.3,1.7,1.7,1.37,0.33,15.71,15.71,0.07,0.14,0.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRPC,2022-01-01,559.0,2.23,558.0,16.41,,34.69,1097.49,1097.49,,16.4,16.4,1096.85,0.95,,153.5,8.4,8.4,6.1,0.09,7.76,7.76,0.0,0.0,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
JAQC,2022-01-01,201.0,3.12,201.0,58.66,,34.09,171.98,171.98,,51.82,51.82,171.7,0.69,,54.8,2.2,2.5,1.7,0.58,105.05,105.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BYTS,2022-01-01,418.0,2.96,417.0,39.34,,35.41,687.3,687.3,,39.24,39.24,685.56,2.74,,90.6,3.3,3.3,2.54,0.15,20.82,20.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALPA,2022-01-01,196.0,3.09,196.0,956.38,,32.58,401.14,401.14,,328.53,328.53,400.76,0.17,,3.7,0.1,0.4,0.1,0.25,80.04,80.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARYE,2022-01-01,194.0,4.02,193.0,159.31,,39.9,495.5,495.5,,158.99,158.99,494.52,0.19,,20.7,0.8,0.8,0.63,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCAA,2022-01-01,298.0,15.89,299.0,243.36,,36.21,1106.62,1106.62,,243.43,243.43,1106.94,0.77,,15.5,0.5,0.5,0.41,0.09,154.45,154.45,0.01,0.1,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MITA,2022-01-01,188.0,3.29,188.0,24.78,,33.16,330.9,330.9,,24.75,24.75,330.49,2.41,,124.4,5.0,5.0,4.04,0.3,53.31,53.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
APMI,2022-01-01,186.0,0.81,186.0,31.28,,28.4,448.39,448.39,,29.04,29.04,448.31,0.15,,78.5,3.9,4.3,3.2,0.22,63.48,63.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GSQB,2022-01-01,182.0,3.78,182.0,29.58,,37.59,343.47,343.47,,29.47,29.47,342.2,2.43,,120.5,4.2,4.2,3.38,0.29,44.84,44.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LFAC,2022-01-01,332.0,17.75,332.0,167.24,,38.51,178.54,178.54,,121.06,121.06,178.55,3.59,,23.2,0.7,1.0,0.6,0.56,226.09,226.09,0.01,0.03,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWAG,2022-01-01,23.0,74.11,2.0,30.16,0.4,0.6,7.72,9.73,0.03,1.79,0.97,0.5,3.48,1.07,1.9,1.4,11.1,3.32,12.95,8.66,8.66,0.02,1.12,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWAG,2021-01-01,91.0,,59.0,385.47,2.28,2.18,15.96,17.14,1.5,83.54,224.69,10.46,6.07,1.23,1.1,0.7,3.2,0.26,6.26,110.24,110.24,0.03,1.77,0.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SWAG,2020-01-01,,,3.0,,,,,,0.09,2.0,2.3,1.59,1.16,2.97,92.4,8.1,30.7,,,,,2.51,2.38,1.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ITAQ,2022-01-01,220.0,,219.0,44.86,,30.64,159.19,159.19,,40.69,40.69,158.86,0.7,,67.8,2.7,3.0,2.23,0.63,458.62,458.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LGST,2022-01-01,495.0,5.78,495.0,112.32,,33.49,2298.81,2298.81,,112.29,112.29,2298.21,0.78,,30.5,1.2,1.2,0.89,0.04,149.89,149.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUCK,2022-01-01,334.0,3.39,335.0,1123.8,,85.44,315.37,315.37,,809.95,809.95,316.31,0.01,,17.1,0.1,0.2,0.09,0.32,11.29,11.29,0.26,2.45,0.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PUCK,2021-01-01,323.0,,323.0,252.58,,342.91,263.18,263.18,,252.76,252.76,263.37,0.41,,56.8,0.5,0.5,0.4,0.38,429.73,429.73,0.25,0.18,0.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LATG,2022-01-01,167.0,,166.0,16.99,,30.42,145.57,145.57,,16.88,16.88,144.6,2.61,,172.8,7.3,7.4,5.89,0.69,370.49,370.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NBST,2022-01-01,167.0,3.09,167.0,129.52,,66.43,151.66,151.66,,191.24,191.24,151.95,0.05,,154.8,1.0,0.7,0.77,0.66,18.33,18.33,0.16,0.46,0.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRBN,2022-01-01,163.0,30.15,163.0,5316.12,,39.75,216.31,216.31,,5305.9,5305.9,215.89,0.57,,0.9,0.0,0.0,0.02,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRKH,2022-01-01,388.0,12.74,388.0,232.13,,38.29,283.04,283.04,,157.57,157.57,283.02,0.16,,17.8,0.6,0.8,0.43,0.35,297.84,297.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOAC,2022-01-01,298.0,18.19,298.0,26.04,,33.57,328.46,328.46,,26.03,26.03,328.36,0.55,,106.6,4.8,4.8,3.84,0.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IFIN,2022-01-01,268.0,37.72,267.0,240.68,,31.53,353.67,353.67,,240.44,240.44,353.31,0.13,,16.5,0.5,0.5,0.42,0.28,249.64,249.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VAQC,2022-01-01,568.0,3.38,568.0,97.96,,35.56,1355.1,1355.1,,97.99,97.99,1355.56,0.33,,36.8,1.3,1.3,1.02,0.07,15.72,15.72,0.02,0.05,0.72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ARYD,2022-01-01,194.0,1.87,194.0,181.53,,22.43,399.39,399.39,,181.56,181.56,399.45,0.02,,11.1,0.7,0.7,0.55,0.25,16.0,16.0,0.01,0.11,0.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FMIV,2022-01-01,431.0,2.98,431.0,56.44,,31.25,170.48,170.48,,48.78,48.78,170.45,0.06,,53.3,2.3,2.6,1.77,0.59,18.44,18.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMAP,2022-01-01,154.0,4.03,153.0,4166.61,,1275.81,151.14,151.14,,433.75,433.75,150.93,,,5.6,,0.3,0.02,0.66,144.41,144.41,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FLME,2022-01-01,361.0,3.4,363.0,139.4,,19.71,210.67,210.67,,197.86,197.86,211.65,0.03,,31.3,0.9,0.6,0.72,0.47,13.71,13.71,0.1,0.97,1.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VCXB,2022-01-01,402.0,,402.0,575.78,,24.23,295.26,295.26,,576.05,576.05,295.4,0.07,,4.8,0.2,0.2,0.17,0.34,14.94,14.94,0.02,0.36,0.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KRNL,2022-01-01,385.0,3.59,385.0,24.58,,28.34,1233.76,1233.76,,24.57,24.57,1233.46,0.05,,102.7,5.1,5.2,4.07,0.08,10.61,10.61,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KYCH,2022-01-01,153.0,,153.0,181.19,,1310.37,217.23,217.23,,181.05,181.05,217.07,1.71,,244.4,0.7,0.7,0.55,0.46,444.02,444.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLLI,2022-01-01,152.0,19.25,152.0,679.8,,37.61,208.69,208.69,,286.16,286.16,208.57,0.37,,6.2,0.2,0.5,0.15,0.48,1606.27,1606.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROSS,2022-01-01,436.0,3.69,436.0,29.36,,23.82,396.03,396.03,,29.35,29.35,396.0,0.01,,80.8,4.3,4.3,3.41,0.25,14.82,14.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALSA,2022-01-01,151.0,15.02,34.0,136.27,,33.39,544.93,544.93,,30.77,30.77,123.04,25.56,,33.8,1.0,1.0,0.73,0.18,313.71,313.71,0.34,1.38,5.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCSA,2022-01-01,423.0,4.17,423.0,45.26,,25.38,787.59,787.59,,45.29,45.29,788.1,0.14,,59.0,3.0,3.1,2.21,0.13,169.72,169.72,0.03,0.06,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROCL,2022-01-01,150.0,16.53,31.0,207.72,,197.4,615.96,615.96,,27.05,27.05,127.02,184.56,,83.0,0.6,1.0,0.48,0.16,330.5,330.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TGVC,2022-01-01,147.0,3.37,146.0,170.99,,163.86,283.29,283.29,,248.58,248.58,283.01,0.16,,348.9,0.7,0.5,0.58,0.35,251.52,251.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
WEL,2022-01-01,148.0,17.28,147.0,260.38,,42.01,3965.84,3965.84,,259.61,259.61,3954.11,2.72,,18.6,0.5,0.5,0.38,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FEXD,2022-01-01,148.0,0.89,148.0,38.55,,24.88,131.8,131.8,,35.97,35.97,132.26,0.03,,57.8,3.3,3.5,2.59,0.76,157.67,157.67,0.09,0.13,0.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ADRT,2022-01-01,147.0,16.36,147.0,1147.61,,49.66,79.3,79.3,,512.81,512.81,79.18,1.1,,4.9,0.1,0.2,0.09,1.26,14.4,14.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANZU,2022-01-01,532.0,2.87,534.0,27.68,,29.71,200.3,200.3,,25.74,25.74,200.82,0.03,,95.0,4.5,4.9,3.61,0.5,15.96,15.96,0.08,0.07,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INTE,2022-01-01,145.0,2.95,145.0,100.76,,18.25,141.73,141.73,,123.37,123.37,141.14,2.92,,20.1,1.2,1.0,0.99,0.71,191.59,191.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHC,2022-01-01,473.0,3.49,473.0,35.95,,33.91,2948.68,2948.68,,35.95,35.95,2948.68,0.03,,87.2,3.5,3.5,2.78,0.03,2.47,2.47,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHC,2021-01-01,457.0,,457.0,278.84,,20.92,283.07,283.07,,278.74,278.74,282.97,9.25,,19.0,0.4,0.4,0.36,0.35,422.8,422.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MBAC,2022-01-01,501.0,1.11,501.0,14.99,,32.3,0.24,0.24,,14.59,14.59,0.24,0.4,,194.1,8.3,8.6,6.67,419.88,17.21,17.21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NSTD,2022-01-01,491.0,0.2,491.0,33.18,,33.22,617.36,617.36,,32.22,32.22,617.1,0.29,,73.6,3.7,3.8,3.01,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AOGO,2022-01-01,136.0,16.21,136.0,187.3,,30.37,120.38,120.38,,242.61,242.61,120.34,0.14,,20.1,0.7,0.5,0.53,0.83,18.69,18.69,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LCA,2022-01-01,626.0,2.98,626.0,26.13,,151.54,692.02,692.02,,24.66,24.66,692.04,0.46,,119.9,6.3,6.7,3.83,0.14,,,0.38,0.06,1.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRLA,2022-01-01,133.0,46.83,134.0,2795.57,,30.72,193.15,193.15,,434.71,434.71,193.97,0.14,,1.5,,0.3,0.04,0.52,494.64,494.64,0.17,2.39,1.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PLMI,2022-01-01,402.0,3.6,403.0,38.02,,26.29,394.01,394.01,,38.11,38.11,394.9,0.03,,65.2,3.3,3.3,2.63,0.25,18.51,18.51,0.07,0.09,0.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TLGA,2022-01-01,509.0,4.62,511.0,48.75,,23.56,201.28,201.28,,44.47,44.47,202.2,0.02,,51.0,3.2,3.6,2.05,0.5,7.16,7.16,0.11,0.2,0.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FSRX,2022-01-01,385.0,3.13,384.0,52.92,,38.12,294.37,294.37,,47.55,47.55,293.9,1.43,,67.8,2.4,2.7,1.89,0.34,13.36,13.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIAI,2022-01-01,153.0,64.86,154.0,18.02,,42.89,277.65,277.65,,18.18,18.18,280.09,0.04,,74.8,4.3,4.3,5.55,0.36,18.54,18.54,0.41,0.17,2.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PIAI,2021-01-01,435.0,6.3,434.0,27.58,,21.91,842.87,842.87,,27.54,27.54,841.58,1.6,,195.7,4.8,4.9,3.63,0.12,39.96,39.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRXB,2022-01-01,439.0,3.13,439.0,46.09,,23.35,409.54,409.54,,42.45,42.45,409.39,0.24,,52.2,2.7,2.9,2.17,0.24,18.11,18.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWLV,2022-01-01,445.0,3.61,445.0,51.18,,977.44,443.69,443.69,,45.96,45.96,443.38,0.27,,657.8,2.5,2.8,1.95,0.23,16.19,16.19,0.08,0.0,0.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TWLV,2021-01-01,430.0,,429.0,233.72,,78.65,549.31,549.31,,233.33,233.33,548.39,2.16,,323.2,0.5,0.5,0.43,0.18,509.87,509.87,0.01,0.02,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LIVB,2022-01-01,129.0,,132.0,77.42,,20.38,222.7,222.7,,79.48,79.48,228.61,0.03,,53.2,1.4,1.4,1.29,0.45,740.55,740.55,0.54,2.05,5.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FZT,2022-01-01,278.0,2.98,279.0,472.16,,15.9,137.0,137.0,,236.06,236.06,137.27,0.16,,4.3,0.3,0.5,0.21,0.73,19.99,19.99,0.06,0.93,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
